A,B
eed,cpsf2
eed,ckap4
eed,imp3
eed,tbc1d9b
eed,arpc1b
eed,nop2
eed,lgmn
eed,fmnl3
eed,gapvd1
eed,gars
eed,snx18
eed,naa25
eed,ddost
eed,prpf8
eed,hadha
eed,eif3h
eed,msh6
eed,aldh18a1
eed,rad50
eed,mdga1
eed,ndufa13
eed,ptpn14
eed,prdx4
eed,ssr4
eed,gart
eed,vat1
eed,paics
eed,etf1
eed,atic
eed,tecr
eed,txndc5
eed,rbm5
eed,atp5j2
eed,mrto4
eed,asns
eed,psat1
eed,clint1
eed,sipa1l1
eed,mgst3
eed,ints8
eed,myadm
eed,emg1
eed,aqr
eed,glipr2
eed,tpm4
eed,nup133
eed,vill
eed,nol11
eed,tars2
eed,capns1
trim29,xrcc6
trim29,tfrc
trim29,ubb
trim29,usp10
trim29,skiv2l2
fancd2,rab32
fancd2,ywhae
fancd2,ctnna1
fancd2,ctnnb1
fancd2,vcl
fancd2,ywhaz
fancd2,tet2
fancd2,rab18
fancd2,cdk1
fancd2,uqcrc1
fancd2,plcg2
fancd2,tubb6
fancd2,huwe1
fancd2,fasn
fancd2,tmem173
fancd2,ahnak
fancd2,anxa2
fancd2,grb2
fancd2,casp1
fancd2,syk
fancd2,smpd4
fancd2,actb
fancd2,ddb1
fancd2,atp5b
fancd2,afg3l2
fancd2,atp1b1
fancd2,smarca5
fancd2,ezr
fancd2,pml
fancd2,parp1
fancd2,inpp5d
fancd2,hspd1
fancd2,rab1b
fancd2,hspa5
fancd2,hsp90b1
fancd2,cltc
fancd2,hyou1
fancd2,sec61a1
fancd2,hsp90ab1
fancd2,tomm70a
fancd2,nedd4
fancd2,dlst
fancd2,sfxn3
fancd2,capn1
fancd2,iqgap2
fancd2,ptpn1
fancd2,jak1
fancd2,ptpn6
fancd2,tcf12
fancd2,hsd17b10
fancd2,ttc27
fancd2,rps20
fancd2,actn1
fancd2,stat1
fancd2,dusp3
fancd2,park7
fancd2,nin
fancd2,pcna
fancd2,hspa8
fancd2,pdlim7
fancd2,pdcd4
fancd2,eif4a1
fancd2,srsf1
fancd2,dnmt1
fancd2,trim28
fancd2,actl6a
fancd2,sf3b1
fancd2,sfpq
fancd2,sun2
fancd2,tuba1a
fancd2,tubb5
fancd2,stk38
fancd2,lmna
fancd2,siglecg
fancd2,eif4b
fancd2,eif3b
fancd2,khsrp
fancd2,cybb
fancd2,pdcd11
fancd2,prkcd
fancd2,pdgfrb
fancd2,noc3l
fancd2,isg15
fancd2,eef2
fancd2,uba1
fancd2,ldha
fancd2,myh9
fancd2,vars
fancd2,samhd1
fancd2,aldoa
fancd2,mpeg1
fancd2,wdr18
fancd2,h2-eb1
fancd2,h2-ab1
fancd2,traf4
fancd2,rcl1
